song_title,artist,lyrics
Gold and a Pager,The Cool Kids, little bit gold pager little bit gold pager little bit gold pager little bit gold pager little bit gold pager pedal foothills wheelies front wheel real chuck play homebro made skate take wear like made even cuzzo I will take like put knapsack snap top latch four finger ring belt buckle strap got hold jeans cause falling ass got check nikes bottom pants got check hip cause beepers blast just got activated even got ask phones can page ass guess I I I well aware gold ropes wear big hang swang I little bit gold pager little bit gold pager little bit gold pager little bit gold pager little bit gold pager little bit gold pager mikey rocks I graduate cooley high last day school threw hat air new pair shoes gum sole posed class picture flicked like glass fixture tip finger hits switch soooo little bit gold motorola pager fresh haircut clean shave razor sickness god witness blessed gift since day christmas I trying nice science stay king jungle just like lions got stay humble move just like bumble bee can let ingrates trouble please steez biting I just teenager little bit gold pager little bit gold pager little bit gold pager little bit gold pager little bit gold pager little bit gold pager embed share urlcopy embed copy
Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall, insert tv commercial day jungle sound effects camera low moving brush pov stalking animal brush parts revealing wall street new york stock exchange hear resonant voice gene hackman gene hackman vo world investing can jungle a see charging snorting bull a gene hackman vo bulls b see ferocious growling bear b gene hackman vo bears danger every turn pretentious classical music kicks gene hackman vo thats stratton oakmont pride best c d various shots conservative young man reviews stock c d portfolio wealthy older couple smiling young woman sits computer talking headset gene hackman vo trained professionals guide financial wilderness e see stratton team ethnically diverse group e actors handsome greytempled chairman gene hackman vo stratton oakmont stability integrity pride f see shot black glass stratton building f int stratton oakmont iii bullpen day feb absolute bedlam drunken stockbrokers early s chant wildly jordan belfort handsome stands beside dwarf dressed tights cape helmet jordan twenty five grand first cocksucker nail bullseye bullseye large dollar sign middle giant velcro dartboard wolf wall street buff revised pages jordan contd watch learn people brokers go apeshit jordan grabs dwarf pants collar crowd cash flies side bets made jordan winds aims dartboard jordan contd one two throw brokers cheer screaming dwarf takes flight hurtling toward camera freeze frame jordan vo contd name jordan belfort im former member middle class raised two accountants tiny apartment bayside queens b series polaroids b jordan smiles poses behind lemonade stand parents max leah behind jordan stands holding styrofoam cooler selling ices beach jordan smiles holds amway sales brochure jordan vo year turned made million dollars head brokerage firm ext long island expressway day feb cherry red ferrari testarossa zooms lie jordan vo really pissed three shy million week ferrari weaves traffic jordan vo hey ferrari white like don johnsons miami vice see ferrari now white zooms away blonde head bobbing jordans lap ext long islands north shore day feb twinengine bell jet helicopter descends huge mansion sparkling pool tennis court waterfall wolf wall street buff revised pages jordan vo see humongous estate thats house int jordans estate master bedroom day feb see naomi blonde gorgeous living wet dream la perla lingerie jordan vo wife naomi duchess bay ridge brooklyn former model miller lite girl naomi licks lips shes incredibly painfully hot jordan vo yeah one blowing ferrari put dick back pants following see quick c series shots c taken tv mansion lifestyles rich famous wealthy people applauding polo match yacht sailing crystal blue seas robert wagner stephanie powers toasting champagne hart hart jordan vo addition naomi two perfect kids mansion private jet six cars three horses two vacation homes foot yacht int hotel bedroom night feb sweaty wildeyed naked jordan fucks hispanic hooker behind jordan vo also gamble like degenerate drink like fish fuck hookers maybe five times week three different federal agencies looking indict dismounts snorts coke straw uses blow asshole jordan vo oh yeah love drugs wolf wall street buff revised pages jordan looks suddenly paranoid hes hearing voices int helicopter night feb jordan drooling stoned skull wears rumpled custommade business suit mans set controls next frantic copilot captain dave pull crash captain dave jesus gonna jordans head bobs pulls back stick helicopter rises sharply levels hovering feet huge mansion jordans hazy double visioned pov see sparkling pool tennis court waterfall jordan vo check despite completely fuckedup state fly straight still seeing two everything closes one eye pov sharpens putting pressure stick helicopter descends slowly driving range lurches slams ground jordan captain dave ya guzza git hazarous doozy pay buddy int jordans estate front door day feb morning sober now impeccable suit tie jordan heads door holding glass orange juice jordan vo yes daily basis take enough drugs sedate greater long island ext jordans estate continuous feb pops two white pills swigs juice speaks directly camera heads waiting limo jordan take quaaludes back fifteen twenty day wolf wall street buff revised pages jordan contd use xanax stay focused ambien sleep pot mellow cocaine wake morphine awesome ext stratton oakmont iii long island day feb limo pulls black glass office building jordan gets heads inside back door jordan drugs gods blue heaven theres one thats absolute favorite int stratton oakmont iii jordans office day feb gadgets computers oxblood leather furniture din brokerage firm bleeding jordan uses credit card cut line coke desk peels crisp dollar bill wad rolls jordan enough shitll make invincible able conquer world eviscerate enemies snarfs line gestures cocaine jordan contd im talking im talking jordan unfurls snap money oxygen capitalism wanna breathe human alive crumbles ball tosses corner comes rest two dozen others back track office toward sounds like roar mob jordan vo money doesnt just buy better life better food better cars better pussy also makes better person can give generously church choice political party can save fucking spotted owl money wolf wall street buff revised pages int stratton oakmont iii bullpen day feb arms akimbo jordan stands bullpen huge open space tightly packed rows maple colored desks jordan vo country world money can buy love fuck beatles brokers mostly young men jackets scream wildly worship jordan vo mind tender age marrying girlfriend teresa a scenes a omitted a ext wall street day may express bus pull sign reads wall street jordan vo headed place befit highminded ambitions jordan emerges kisses teresa goodbye joins sea commuters heading work jerry fogel prelap lower fucking pond scum int lf rothschild bullpen day may computers telephones everywhere desks shirtsleeved brokers read wall st journals readying war like eager puppy jordan follows broker jerry fogel thicklipped bowtied jerry fogel got problem reads name tag jordan jordan nope problem wolf wall street buff revised pages jerry fogel job connector means will dialing phone times day trying connect business owners till pass series thats youll sit jordan takes seat desk next fogels jerry fogel contd just know last year made k guy will working made million jordan vo million dollars imagine douchebag guy must manicured hand lands jordans shoulder mark hanna s charismatic moviestar handsome mark hanna jordan mark hanna re fogel good youve met jerry one smartest guys office whos ever sucked dogs cock loneliness fogels smile turns frown hands jordan stack x index cards jerry fogel smile dial dont pick fucking head till one mark hanna dont mind jerry father raped child besides I senior broker worthless piker heard pitched stock job interview jordan something stand mark hanna fuckin love lets grab lunch later windows good jordan great yeah wolf wall street buff revised pages hanna gives wink looks clock giant electronic stock ticker encircling room mark hanna lets fuck ring absolute pandemonium bell signalling opening stock market feet fly desks brokers connectors dial phones like mad camera pushes jordan mesmerized takes roar broker broker miniscribes fuckin steal thirty eight bucks share mark hanna headset broker west virginia buying coal mine s game hightech broker broker fuckface got july s jordan vo want know money sounds like visit trading floor wall street fuck shit cock cunt asshole couldnt believe guys talked fogel notices jordan sitting frozen covers mouthpiece kicks desk violently jerry fogel dial cocksucking phone jordan snaps starts dialing jordan vo hooked within seconds mark hanna slams phone victory scrawls buy ticket places ticket glass cylinder slips plastic pneumatic tube jordan vo like mainlining adrenaline tube whooshed ceiling suddenly wolf wall street buff revised pages int windows world day may close coke spoon whose contents disappear nostril pull back reveal lunchtime power spot panoramic views city corner table paranoid jordan looks around hanna another bump coke none diners seem notice care mark hanna offering spoon got enough one tootski jordan thanks though hanna slips vial pocket hector tuxedoed maitred approaches hector mr hanna can bring glorious afternoon hanna surreptitiously palms hector jordan notices mark hanna heres game plan hector bring us two absolut martinis straight precisely seven half minutes deliver youll bring two two every five minutes one us passes hector excellent strategy sir jordan actually im good up jordan might well farted table mark hanna first day wall street hector give time hector offers menus thanks im eating hector heads jordan can get high day still function wolf wall street buff revised pages mark hanna high way fucking job guy coined term threemartini lunch woman cocaine hookers friend keys success jordan smiles sure hanna kidding jordan gotta say im really excited part team wanna can clients mark hanna reciting ad lf rothschild clients arent just important theyre family just long get taste first remember something jordan top priority job make us money clients get rich along way bully got girlfriend jordan wife cuts hair mark swallows comment gets business mark hanna ok first rule wall street nobody dont care youre warren buffet jimmy buffet nobody knows stocks going fucking sideways least stock brokers pretend know make sure stay relaxed nobody wants buy something someone sounds like havent gotten laid month take breaks feel stressed jerk can like jerking right jordan well sure mark hanna good jerking key highly recommend cocaine will make dial faster good churn em burn em baby wolf wall street buff revised pages busboy stops fresh napkin mark thanks discreetly possible mark removes fresh vial cocaine tucked within takes quick snort jordan realizes thats palmed maitre d jordan vo next six months learned ways wall street int strip club night oct strippers grind bg jordan parties mark hanna dozens brokers trainees jordan sips martini studies mark hanna hitting stripper jordan vo fall passed series finally int rothschild building lobby day oct briefcase hand jordan boards elevator dozen brokers jordan vo first day stockbroker future master universe doors close screen see october th int lf rothschild bullpen day oct total chaos jordan dials phone around brokers panic screaming headsets jordan vo called black monday four pm market points biggest oneday drop since crash pm closing bell rings entire place goes silent brokers look stunned mark hanna holy fucking shit brokers start commiserating wolf wall street buff revised pages jordan vo lf rothschild company business since closed doors within month int jordan teresas apartment kitchen day dec jordan sits table perusing times classifieds teresa approaches two coffees sits next teresa ill take extra shift dont worry jordan work much teresa pawn engagement ring jordan pawning anything im gonna millionaire teresa teresa know doesnt matter right smiles kisses together peruse ads jordan points ad nobody beats wiz stock boy teresa youre stock broker jordan ones hiring brokers right now sweetie go back ads beats points teresa place ext strip mall parking lot long island day dec suit jordan emerges datsun looks around confused heads toward unmarked storefront wolf wall street buff revised pages int investors center day dec antithesis lf rothschild cheap furniture dozen misfit brokers giving loud obnoxious sales pitches jordan enters modern man among cave people dwayne slovenly walrus mustache looks jordan im looking investors center dwayne thats us hey dwayne jordan shake hands jordan belfort called earlier broker rothschild dwayne motions jordan seat nearby broker ratty keds toby welch screaming phone toby welch im tellin stock goin cause know okay inside information jordan looks appalled hes hearing jordan quotrons dwayne quotrons sell pink sheets penny stocks dwayne slides jordan large thin book pages literally pink explains jordan flips pages dwayne contd company dont enough capital listed nasdaq shares trade points book like guys aerotyne make radar detectors garage dubuque jordan six cents share buys crap dwayne schmucks mostly mailmen plumbers people thinking can get rich quick answer ads popular mechanics hustler wolf wall street buff revised pages jordan spread huge dwayne sos commission thats point blue chips stocks get one percent pink sheets fifty jordan wait second youre telling sell two thousand dollars worth stock commission thousand bucks dwayne technically yeah even biggest schmuck buys two thousand dollars shit int investors center later day dec others brokers bark phones jordan sits phone cradled shoulder making notes beats jordan phone mr fleming good morning jordan belfort investors center new york city recently responded one ads brokers glance eavesdropping jordan contd reason im calling extremely exciting investment opportunity crossed desk today typically firm recommends five stocks per year one brokers look jordan contd aerotyne international cutting edge tech firm midwest awaiting imminent patent approval new generation radar equipment later now brokers listen rapt attention wolf wall street buff revised pages jordan contd aerotynes shares rise dollar research indicates go much much higher profit mere three thousand dollar investment upwards fifty thousand thats right pay mortgage seconds tick eternity starts writing jordan contd four thousand dollars will check money order thank sir jordan hangs scrawls buy ticket jordan vo contd just like made two grand guys looked like id just discovered fire toby welch cavebrokers stare toby welch howd fuckin int investors center another day feb jordan sits desk midpitch totally focused jordan rocksolid company sir next microsoft six thousand terrific jordan continues talking wrapping sale jordan vo contd though knew selling garbage within twelve weeks making fortune starts scrawling buy ticket jordan vo wise man told responsibility put meat table close jaguar parked outside diner wolf wall street buff revised pages int kacandes diner bayside day jun wearing suit jordan sits booth reading wall street journal waitress serves food donnie azoff preppylooking hornrims bright white teeth approaches takeout counter donnie jag lot yeah nice ride jordan donnie donnie azoff jordan jordan belfort donnie ive seen around live building twelfth floor jordan nods bro jordan stock broker donnie kids furniture brotherinlaw making money jordan seventy grand last month donnie get fuck made seventy grand one month jordan seventy two actually donnie studies isnt sure hes full shit donnie tell show pay stub im quitting job right now coming work jordan retrieves briefcase find paystub a scene a omitted a b jordan hands donnie paystub sure enough b north seventytwo k wolf wall street buff revised pages donnie contd holy shit jordan watches donnie crosses pay phone dials jordan vo quit job thought little weird mean just met fucking guy beats phone donnie yo paulie donnie yeah listen quit jordan studies donnie continues conversation jordan vo things like phosphorescent white teeth fact wore horn rims clear lenses look waspy also married first cousin scene omitted int bar day jun jordan sits midconversation donnie beers donnie problem kid whos retard well just leave steps institution continue drinking jordan vo also closet drug fiend id known less week talked smoking crack ext back bar day jun jordan donnie get high donnie holds flame crack pipe wolf wall street buff revised pages jordan vo weird thing hed crack face contort bizarre frozen mask like phantom opera donnie hit crack jaw twitches facial muscles contort locking like stroke victim beats hands pipe jordan donnie now take hit jordan takes deep hit holds beat jordan omigod fuckin love jordan vo knew make partner int investors center day sep jordan looks donnie works phone like madman jordan vo turned great move donnie fast learner transitioned penny stock business quickly ext stratton oakmont auto shop day sep jordan donnie pull defunct auto body shop lease sign window jordan vo within months started firm abandoned auto body shop int kacandes diner day oct jordan sits chester ming robbie feinberg alden kupferberg sea otter brad muscular bald fu manchu mustache jordan vo addition donnie also recruited friends sea otter chester robbie time middling pot dealers wolf wall street buff revised pages waitress serves cheeseburgers jordan see everyone wants get rich youre already half way time call starts sea otter sold weed amish dude one beards mustache robbie feinberg sea otter wanted make furniture chester ming whats got anything sea otter just said everyone wants get rich robbie feinberg jordan thats true sea otter buddhists dont give shit money either chester ming man sell weed anybody get convent full nuns fucking wasted brad looks jordan shakes head int stratton oakmont auto body shop bullpen oct see guys working phones jordan vo brad guy really wanted took pass since hed become quaalude king bayside ext brads house backyard gym day oct barechested wearing kung fu pants brad sells ludes couple high school kids wolf wall street buff revised pages jordan vo absolute morons friends like always said int stratton oakmont auto body shop bullpen day oct jordan emerges office garage area bullpen looking donnie chester robbie sea otter four brokers now including rugrat toby make sales calls cheap desks jordan vo give young hungry stupid time ill make rich ext marina long island sunset may lounge chairs edge dock bottle wine nearby jordan sits teresa smiles opens jewelry case inside diamond tennis bracelet teresa omigod jordan jordan like teresa beautiful jordan helps try smiles detects wave something jordan theyre small know stones really high quality teresa love sit silence jordan finally teresa dont know just stocks crappy companies jordan five years corleone family will completely legitimate wolf wall street buff revised pages teresa cant legitimate now jordan illegal teresa technically mean theyre real stocks theyre just teresa never gonna make anybody money beats wouldnt feel better selling junk rich people can afford lose money least jordan rich people dont buy penny stocks teresa jordans look jordan vo theyre smart thats int stratton oakmont auto body shop day aug close jordan brow furrowing wheels turn jordan vo mean person substance trust bunch jerkoffs like pinhead robbie feinberg scenes omitted a insert id photo toby welch a jordan vo toby welch mean look fucking cromagnon wouldnt trust pick rock alt jordan vo toby welch mean look fucking cromagnon couldnt even think without moving lips wolf wall street buff revised pages b insert id photo robbie feinberg b jordan vo sea otter c insert id photo sea otter c jordan vo chester ming even depraved chinaman giant panda head d insert id photo chester ming d jordan vo nicky koskoff called rugrat e insert id photo rugrat e jordan vo well can probably figure int stratton oakmont auto body shop rear night mar camera pushes jordan stands large dry erase board jordan vo didnt sound like jerkoffs took bunch nincompoops molded image reinvented company gave new image new name something patrician blueblooded something reeked tradition antisemitism brokers settle folding chairs jordan gentlemen welcome stratton oakmont clients weve gone past theyre done will now target exclusively wealthiest one percent americans methods weve used loud obnoxious sales hype worthless people wolf wall street buff revised pages jordan contd military terms like carpetbombing noisy menacing marginally effective stratton brokers will laserguided smartbombs aimed highpriority targets will establish initial relationship clients selling blue chip stocks will attempt sell pink sheets real money now key every sale jordan writes word urgency board jordan contd one buys stock unless thinks going going now must convince client buy takeover happens lawsuit settled patent granted says ill think call back youre dead one calls back create urgency int stratton oakmont auto shop bullpen day another day stratton oakmont signage visible bg jordan speakerphone potential client brokers listening jordan kodak settles lawsuit institutions will permitted buy shares large blocks happens day now think will happen price kodak stock client os itll go jordan exactly pick shares today investment int stratton oakmont auto body shop rear night jordan stands addressing brokers wolf wall street buff revised pages jordan lower voice int stratton oakmont auto shop bullpen day jordan pitches client voice lowered jordan believe sir will sorry int stratton oakmont auto body shop rear night jordan stands brokers jordan wait whoever speaks first loses point sale chester chester ming close jordan sweet sour douchebag beginning beginning sale starts salesman almost hoping says can finally fucking job int stratton oakmont auto shop bullpen day jordan sits phone waiting response client os dont know dont think int stratton oakmont auto body shop rear night jordan stands brokers jordan doesnt know needs think hes gotta ask wife fact doesnt matter fuck says hes already agreed stocks going real objection point doesnt trust shouldnt trust youre fucking salesman say wolf wall street buff revised pages int stratton oakmont auto shop bullpen day donnie talks phone client donnie let ask sir broker past three four years made money consistent basis probably wouldnt say need think youd probably say pick three four thousand shares right client os maybe int stratton oakmont auto shop bullpen day apr place crowded now brokers make sales force sea otter pitches client sea otter wait second mean tell put union carbide took int stratton oakmont auto shop bullpen day may even crowded brokers robbie feinberg put texas instruments took int stratton oakmont auto shop bullpen day jun brokers still now theres chester ming walmart took wouldnt say chester pick shares cmon client os well yeah t
Smell Yo D*ck,Riskay,feat aviance real dj quest nigga th muthafuckin time called left yo ass messages done text yo bitch ass u respondin nothin fuck fuck think I stupid gurlz already done put ass tonight u get home got news yo bitch ass comin home mornnn somethins goin can smell yo dick play like fool cause cool wat u need lemme smell yo dick u comin home mornin somethins goin can smell yo dick play like fool cause cool wat u need lemme smell yo dick oclock I sleepin late night u creepin coulda told I leaving now know cheatin gotta like call u call back I texting u like nigga u fucked way u like I sleepin u trickin club dirty full bitches girl witness camera phone took pictures dance floor grindin striper ho named diamond flossin hard u shinnin everything drank u buying nigga u need stop lying get mad pull nine u want new bitch fuck fine fuck try fuck mine u keep tellin u touch keep tellin u gone fuckeder bitch u want play nigga drop boxers lemme smell yo dick comin home mornnn somethins goin can smell yo dick play like fool cause cool wat u need lemme smell yo dick u comin home mornin somethins goin can smell yo dick play like fool cause cool wat u need lemme smell yo dick yo hey smell dick wait minute hold bitch geter eye swoleup give damn wat homegirl seen club fuck u mean got bisnuz eyein like dat got bisnuz tryin like dat even feelin diamond like dat wilin wunt clownin like dat allright okay one believe wat homegirl say nigga like drink alot liquor meet lot bitches take lot pictures might break bread one two strippaz mean u gotta pull ma zippa thinking whole town even though got enough dick go around round round comin home mornnn somethins goin can smell yo dick play like fool cause cool wat u need lemme smell yo dick u comin home mornin somethins goin can smell yo dick play like fool cause cool wat u need lemme smell yo dick embed share urlcopy embed copy
Don't Wanna Lose,Ex Hex,cocaine bathroom stupid motherfucker I selling pounds back room people call fuckin escobar maybe call plug ask got shit mgk wanna motherfucker thinking can get clout tryna rip shit used wicked motherfucker underestimated dauble now pack shit crying like kindergarten ex got girl hex yo dauble next wooo going way hard whippin black car art vvizardking just flex flex really want checks crowd fuck sound really take shit one track underground spotify numb r now wooo spaceman really gonna beer hand bett r go get cry bout weight go get food uh homie shoulda hit back now gotta get cruel dauble teacher cause gotta get schooled act like fault broke rules rappers like make lose hope fuck american roast turkish joke focus I saying stay woke senin gibi aptallarin muzikte yeri yok can understand can hear tho google translate straight phone god damn track cuts deep fuck smz cut straight bone always cry alone cause lost money broke snakes crew tryna leech u care fuck taubrey city true fuckin models claim rochester boy locals say really dude clout grew watch dauble take fans switched punk now streams dumps last track make grand tat bitch boy zack hand gotta cover bullshit talk tough twitch act like bitch see better scared I alpha omega declared bro shit impaired go act like chick put make shit playing dress dyeing hair embed share urlcopy embed copy
Endless Rhythm,Baio, stared endless rhythm hour two something spoke speak speak came city still indifferent big sky can humble high see high see cut size glad left alive cut size glad left alive I never heard lyric really liked every lyric I written lyric despise oh despise cut size glad left alive cut size glad left alive can wait can wait like want can wait can wait like want cut size cut size cut size glad left alive cut size can wait can wait can wait can wait can wait can wait can wait you embed share urlcopy embed copy
Demon,Shamir, honor roll I known til took dark side thrill good together stood like modern day bonnie clyde will stay run forget bad things done fit survival books bible held gun wings turned black turning back yeah completely enriched together flew yeah trap captured wanna go let momma know I ride die feels right I gone sold soul I demon baby beast made falling grace falling oh gracefully nature girl blame chose go leave much shame I demon baby beast made fast lane together baby always fast lane together baby always fast lane together baby always fast lane I demon baby beast made falling grace falling oh gracefully nature girl blame chose go leave much shame I demon baby beast made I demon baby beast made falling grace falling oh gracefully nature girl blame chose go leave much shame I demon made fast lane together baby always fast lane together baby always fast lane together baby always fast lane on embed share urlcopy embed copy
Nothing Ever Happened,Deerhunter, way within way learn choke learn shout focus depth never eliminate can repair nothing ever happened nothing ever happened nothing ever happened life just passed flashed right sleep winter awake spring adjust eyes state things focus depth never nothings easy nothings fair nothing ever happened nothing ever happened nothing ever happened life just passed flashed right never saw coming waiting something nothing never saw coming waiting something nothing embed share urlcopy embed copy
Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels,worst dhm luna deafheaven white iverson post malone lost space public enemy hey mama david guetta ft nicki minaj marvin gaye charlie puth meghan trainor role modelz j cole dm yo gotti trouble charlie puth ft lil wayne moses french montana ft migos chris brown liquor chris brown hotline bling drake best hm reagan killer mike oh darling meow just blaze remix run jewels road resistance babymetal magnets disclosure ft lorde suavemente snow tha product wolves angel haze alessia cara night weeknd can feel face weeknd free interlude kendrick lamar u kendrick lamar embed share urlcopy embed copy
River,Ibeyi, come river will come river will come river come river wash soul will come river wash soul will come river wash soul carry away dead leaves let baptize soul help waters sink pains complains let river take river drown ego blame let baptize soul help waters old mes ashamed let river take river drown come river will come river will come river come river wash soul will come river wash soul will come river wash soul carry away old leaves let baptize soul help waters sink pains complains let river take river drown ego blame let baptize soul help waters old mes ashamed let river take river drown come river will come river will come river come river wash soul will come river wash soul will come river wash soul wemile oshun oshun dede alawede wemile oshun moolowo beleru yalode moyewede wemile oshun oshun dede alawede wemile oshun moolowo beleru yalode moyewede wemile oshun oshun dede alawede wemile oshun moolowo beleru yalode moyewede wemile oshun oshun dede alawede wemile oshun moolowo beleru yalode moyewede embed share urlcopy embed copy
River,Ibeyi, come river will come river will come river come river wash soul will come river wash soul will come river wash soul carry away dead leaves let baptize soul help waters sink pains complains let river take river drown ego blame let baptize soul help waters old mes ashamed let river take river drown come river will come river will come river come river wash soul will come river wash soul will come river wash soul carry away old leaves let baptize soul help waters sink pains complains let river take river drown ego blame let baptize soul help waters old mes ashamed let river take river drown come river will come river will come river come river wash soul will come river wash soul will come river wash soul wemile oshun oshun dede alawede wemile oshun moolowo beleru yalode moyewede wemile oshun oshun dede alawede wemile oshun moolowo beleru yalode moyewede wemile oshun oshun dede alawede wemile oshun moolowo beleru yalode moyewede wemile oshun oshun dede alawede wemile oshun moolowo beleru yalode moyewede embed share urlcopy embed copy
The Buzz (feat. Mataya & Young Tapz),Hermitude, feel feel feel feel feel air air air air feel feel feel feel can feel air air air air air air air feel buzz just trust something air just something like dream state call clean break feel buzz baby feel buzz feel feel air just feel can feel air just just feel buzz just just something air just something like dream state can even see straight feel buzz baby feel buzz said feel buzz embed share urlcopy embed copy
"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track",Hermitude,NA
Alright,Kendrick Lamar, alls life fight nigga alls life hard times like yah bad trips like yah nazareth I fucked homie fucked god got us gon alright nigga gon alright nigga gon alright gon alright hear feel gon alright nigga gon alright huh gon alright nigga gon alright hear feel gon alright uh wake recognize looking pay cut homicide looking face mac even boom bass schemin let tell bout life painkillers put twilight pretty pussy benjamin highlight now tell momma love like lord knows twenty em chevy tell em come get reaping everything sow karma coming heavy preliminary hearings record I motherfucking gangster silence record uh tell world know late boys girls think I gone cray drown inside vices day will please believe say know hurt nigga pride low lookin world like go nigga hate popo wanna kill us dead street fo sho nigga I preachers door knees gettin weak gun might blow gon alright nigga gon alright nigga gon alright gon alright hear feel gon alright nigga gon alright huh gon alright nigga gon alright hear feel gon alright want house car forty acres mule piano guitar anything see name lucy I dog motherfucker can live mall can see evil can tell know illegal think deposit every zero thinking partner put candy paint regal digging pocket profit big enough feed every day logic get another dollar just keep presence chico ah talk every day sequel got know got heaven can reach pat dawg pat dawg pat dawg dog bick back chad trap bag yall rap black track rest assured rights wrongs write til I right god know hurt nigga pride low lookin world like go nigga hate popo wanna kill us dead street fo sho nigga I preachers door knees gettin weak gun might blow gon alright nigga gon alright nigga gon alright gon alright hear feel gon alright nigga gon alright huh gon alright nigga gon alright hear feel gon alright keep head high cross heart hope die lovin complicated afraid lot changes I alright favorite dark nights prayers remembered conflicted misusing influence sometimes abusing power full resentment resentment turned deep depression found screamin hotel room wanna selfdestruct evils lucy around went runnin answers embed share urlcopy embed copy
Swimming Pools (Drank) - Extended Version,Kendrick Lamar, jay rock kendrick lamar future james blake kings dead kendrick lamar sza stars jay rock wow freestyle feat kendrick lamar kendrick lamar dna kendrick lamar money trees feat jay rock kendrick lamar swimming pools drank kendrick lamar king kunta kendrick lamar element kendrick lamar backseat freestyle kendrick lamar alright kendrick lamar humble kendrick lamar loyalty feat rihanna kendrick lamar bitch kill vibe feat jayz kendrick lamar love feat zacari kendrick lamar poetic justice feat drake nipsey hussle dedication feat kendrick lamar kendrick lamar adhd future mask feat kendrick lamar sc hoolboy q collard greens feat kendrick lamar kendrick lamar kendrick lamar fear aap rocky fuckin problems feat drake chainz kendrick lamar kendrick lamar xxx feat u kendrick lamar rigamortus kendrick lamar travis scott big shot kendrick lamar untitled kendrick lamar hiii power kendrick lamar duckworth j cole forbidden fruit feat kendrick lamar sc hoolboy q birds beez feat kendrick lamar kendrick lamar tammys song evils kendrick lamar needs feat dom kennedy murs mike wi ll madeit perfect pint feat kendrick lamar gucci mane rae sremmurd absoul law feat mac miller rapsody jay rock hood gone love feat kendrick lamar cozz hustlas story feat kendrick lamar mike wi ll madeit buy world feat lil wayne kendrick lamar future isaiah rashad wrong feat zacari kendrick lamar flying lotus never catch feat kendrick lamarembed share urlcopy embed copy
Money Trees,Kendrick Lamar, uh niggas tryna get ya bish ya bish hit house lick tell wit ya bish ya bish home invasion persuasive persuasive nine five know vacant ya bish ya bish dreams livin life like rappers like rappers back condom wrappers cool cool fucked sherane went tell bros tell bros usher raymond let burn came let burn came hot sauce top ramen ya bish ya bish park car start rhymin ya bish ya bish thing free mind free mind freeze verse see dollar signs see dollar signs lookin like easy comeup ya bish ya bish silver spoon know come ya bish ya bish lifestyle never knew never knew go reverend revenue go halle berry hallelujah pick poison tell doin everybody gon respect shooter one front gun lives forever one front gun forever hustlin day thisaway thataway canals alleyways just say money trees perfect place shade just feel nah nah dollar might just fuck main bitch just feel nah dollar might say fuck niggas came just feel nah nah dollar might just make lane switch just feel nah dollar might turn million rich just feel dreams livin life like rappers like rappers bump new e school way school know big ballin homies homies earl stevens us thinkin rational thinkin rational rational back reality poor ya bish ya bish another casualty war ya bish ya bish two bullets uncle tony head tony head said one day I will tour ya bish ya bish louis burgers never will louis belt never ease pain will ease pain I ama purchase day jerkin day jerkin pull churchs pirellis skirtin pirellis skirtin gang signs window ya bish ya bish hopin em offend ya bish ya bish say hood pot gold pot gold gon crash nobodys home go halle berry hallelujah pick poison tell doin everybody gon respect shooter one front gun lives forever one front gun forever hustlin day thisaway thataway canals alleyways just say money trees perfect place shade just feel nah nah dollar might just fuck main bitch just feel nah dollar might say fuck niggas came just feel nah nah dollar might just make lane switch just feel nah dollar might turn million rich just feel last one get dough way love one bucketheaded hoes way hit streets break code way hit brakes patrol way last one get dough way love one bucketheaded hoes way hit streets break code way hit brakes patrol way imagine rock projects niggas pick pockets santa claus miss stockings liquors spillin pistols poppin bakin soda yola whippin turkey thanksgivin homeboy just domed nigga just hope lord forgive pots cocaine residue every day I hustlin else thug eatin cheese government gotta provide daughter nem get fuck way bitch got drum got bands just like parade bitch drop work bushes hope boys see stash tell truth last time might see ass gardens grass cut serpents lurkin blood bitches sellin pussy niggas sellin drugs good broken promises steal watch tell time take js tell kick foot locker streets heater dungarees dreams gettin shaded money tree go halle berry hallelujah pick poison tell doin everybody gon respect shooter one front gun lives forever one front gun forever hustlin day thisaway thataway canals alleyways just say money trees perfect place shade just feel kendricks mom kendrick just bring car back man called another appointment figured werent gonna back time anyways look shit shit just wanna get house man man one feelin good motherfucker shit im tryna get thing goin just bring car back shit faded feelin good look listen kendricks dad girl girl want body want body big ol fat ass girl girl want body want body big ol fat ass kendricks mom see high hell shit aint even trippin damn dominoes anymore just bring car back kendricks dad somebody say dominoes embed share urlcopy embed copy
